mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_115951,CCC1OCC2COC12,2.989,1.32576,1.07833,1.5463,77.59,-0.2473,0.0711,0.3184,1200.2981,0.183771,-424.213219,-424.204707,-424.203763,-424.246948,31.973
gdb_50433,O=CC1CC=CC=CC1,3.05892,1.14947,0.90014,2.4565,85.83,-0.2232,-0.0328,0.1904,1290.2717,0.159865,-385.912227,-385.903604,-385.902659,-385.947631,31.518
gdb_56894,CC1CC(O1)C(O)C#C,3.33804,0.98391,0.80226,1.1684,78.04,-0.2425,0.0278,0.2703,1437.1437,0.156316,-422.970903,-422.961068,-422.960124,-423.00617,35.784
gdb_5407,COc1ncncn1,5.60867,1.72136,1.32814,1.8691,61.3,-0.2707,-0.0478,0.2228,864.117,0.098223,-394.833638,-394.827108,-394.826164,-394.864566,23.094
gdb_47759,N=C1OCOCC1C#C,2.12785,1.76148,1.23176,2.078,71.71,-0.2653,0.0003,0.2656,1043.2013,0.124737,-437.852815,-437.844772,-437.843828,-437.885675,30.065
gdb_57474,CC(C)(O)C1COC1=O,2.56562,1.3988,1.12516,3.3484,70.71,-0.2742,0.0049,0.2792,1144.528,0.15732,-460.19676,-460.18743,-460.186486,-460.230628,34.931
gdb_85626,CC1C=C(CC1O)C#C,3.25136,1.07477,0.91332,1.0625,88.11,-0.2314,-0.0234,0.2079,1319.9469,0.158084,-385.876766,-385.867672,-385.866728,-385.91029,34.96
gdb_121014,COCC1CC=CC1=O,2.96707,1.10536,0.87679,2.7662,78.48,-0.2366,-0.0459,0.1908,1338.6366,0.159006,-423.050205,-423.041199,-423.040255,-423.085155,32.224
gdb_5235,CCOc1ncco1,7.4902,1.20372,1.05068,0.4631,63.39,-0.2204,0.0255,0.2458,1097.806,0.119519,-399.831195,-399.823807,-399.822863,-399.8636,26.234
gdb_32019,CCc1[nH]c(=O)ncn1,3.9306,1.14794,0.89826,5.2577,73.22,-0.263,-0.0614,0.2016,1252.0213,0.126131,-434.14728,-434.1392,-434.138255,-434.181021,29.052
gdb_52346,C#CC#CCCCC=O,7.44108,0.43049,0.41387,1.9961,93.15,-0.247,-0.032,0.2151,2461.7695,0.132262,-384.649131,-384.638956,-384.638012,-384.685878,34.953
gdb_57550,CC(C)(C)CNCC#N,3.69007,0.66623,0.65114,4.179,87.59,-0.2465,0.0223,0.2688,1826.7753,0.203693,-384.483122,-384.472046,-384.471102,-384.519648,40.169
gdb_1163,CC(O)(C=O)C#C,3.39236,2.26298,1.92411,2.8796,56.49,-0.2561,-0.0403,0.2158,722.6594,0.097041,-344.421383,-344.413132,-344.412188,-344.453615,28.719
gdb_48576,O=CC12CC(C1)(N2)C=O,4.96104,0.95317,0.91535,1.5639,71.87,-0.2547,-0.0607,0.1941,1251.4637,0.122721,-437.822845,-437.814527,-437.813583,-437.856804,29.667
gdb_110578,CCC1C2C3CC2C13C,2.99918,1.2593,1.0444,0.2568,90.45,-0.2743,0.093,0.3673,1277.9284,0.205487,-351.093523,-351.084671,-351.083727,-351.126819,34.806
gdb_44339,N=C1OC2C3C=CC2C13,4.53722,1.46162,1.4049,2.7489,74.62,-0.238,-0.0205,0.2175,934.1148,0.127338,-400.729063,-400.723011,-400.722067,-400.759233,25.652
gdb_19640,O=CC12C3C4C1N4C23,5.56044,1.78754,1.65617,3.0033,63.17,-0.2366,-0.0288,0.2077,764.1658,0.095061,-361.342894,-361.336924,-361.33598,-361.373133,22.655
gdb_61169,CC(CC#N)C(C)(C)C,2.74688,0.93688,0.85493,4.2271,89.53,-0.3085,0.037,0.3455,1496.269,0.214831,-368.445236,-368.434077,-368.433133,-368.48137,41.564
gdb_40476,C1CN1C12CN3C1CC23,3.67176,1.39028,1.25911,1.8937,80.21,-0.2296,0.0827,0.3123,1059.5883,0.160323,-381.93609,-381.928827,-381.927882,-381.968026,29.05
gdb_1780,CC1OC1(C)C=O,5.02384,1.84645,1.66535,2.6666,58.73,-0.2538,-0.034,0.2198,791.4555,0.121864,-345.653983,-345.646061,-345.645117,-345.686105,27.548
gdb_115251,CCC1CNC(=N1)C#N,3.41197,0.99103,0.80076,4.8048,80.76,-0.2453,-0.0474,0.1979,1418.5836,0.148882,-398.158385,-398.149552,-398.148608,-398.192387,32.061
gdb_71461,CC12CC3(C#C)C(O1)C23,4.56235,1.1918,1.09821,1.5078,80.8,-0.2253,0.036,0.2614,1128.9223,0.133941,-384.598922,-384.590972,-384.590028,-384.630922,31.618
gdb_91559,CC1CC2CC12CC#C,2.693,1.25389,1.01803,0.6407,87.72,-0.247,0.0522,0.2992,1256.5537,0.181202,-349.898366,-349.889095,-349.888151,-349.9324,35.68
gdb_2066,N=C1CCCCO1,4.58056,2.56496,1.77558,3.2084,62.03,-0.2539,0.0233,0.2772,719.928,0.139522,-325.801905,-325.795581,-325.794637,-325.832153,23.991
gdb_53358,CC#CC1CCC(=O)N1,3.16913,0.89693,0.82231,3.952,80.95,-0.2386,0.0279,0.2665,1474.5006,0.148052,-401.97625,-401.967014,-401.96607,-402.012133,32.694
gdb_52247,O=CCOC1CC2OC12,5.48108,0.73798,0.70838,3.6262,69.46,-0.2566,-0.0297,0.2269,1554.2054,0.132968,-458.907936,-458.899232,-458.898288,-458.943044,30.466
gdb_98743,COC(=N)N1CC1C=O,2.77022,1.28583,1.15891,2.8245,71.79,-0.242,-0.0485,0.1935,1138.1299,0.13413,-455.124122,-455.1149,-455.113956,-455.158834,32.27
gdb_81313,OC1C2COC(=O)C1N2,2.39238,1.74979,1.63374,5.1292,64.28,-0.2407,0.008,0.2487,913.9844,0.126252,-475.0225,-475.015175,-475.014231,-475.054206,28.248
gdb_64531,OC1(C=O)C2C3CN2C13,4.31858,1.32067,1.15126,2.1938,70.12,-0.244,-0.043,0.201,1042.6039,0.123768,-437.786175,-437.779008,-437.778064,-437.817703,28.214
gdb_100157,CCC(C)(O)COC=O,3.70477,0.82248,0.80989,4.5069,76.19,-0.2691,0.017,0.2861,1520.9616,0.178842,-461.392889,-461.381977,-461.381033,-461.429112,38.831
gdb_124262,CC(=O)c1cnnnn1,3.97296,1.27935,0.97347,2.8512,66.35,-0.2675,-0.1213,0.1461,1112.6138,0.087265,-448.885323,-448.877454,-448.87651,-448.918544,27.324
gdb_28655,c1cc(ncc1C#N)N,5.73768,1.01957,0.86602,6.2424,82.7,-0.2324,-0.0392,0.1932,1236.8911,0.104077,-395.817055,-395.809647,-395.808703,-395.848874,28.191
gdb_109103,C1C=C(C(=O)C1=O)CO,3.32001,1.17622,0.87792,4.5321,69.78,-0.2323,-0.0912,0.1411,1235.844,0.111373,-457.797618,-457.789104,-457.78816,-457.831427,30.23
gdb_7710,N=C1CCNC(=O)N1,3.5068,1.94608,1.29589,2.2572,64.38,-0.2545,0.0026,0.2571,894.411,0.122639,-396.049056,-396.042158,-396.041214,-396.080285,26.168
gdb_119897,C1CN=C(OC1)CCO,4.284,0.845,0.73043,2.0005,77.11,-0.2415,0.0318,0.2733,1555.9495,0.171715,-440.301808,-440.292578,-440.291633,-440.336732,33.353
gdb_17975,C1CCOCOCC1,2.59367,2.2842,1.40875,0.7727,71.01,-0.2548,0.0903,0.3451,937.0511,0.179711,-386.139947,-386.132381,-386.131436,-386.171598,29.273
gdb_111058,CCC1C2CC1(CO)C2,3.00804,1.04255,0.90707,1.4608,86.8,-0.2629,0.0745,0.3374,1408.759,0.205701,-388.238913,-388.229389,-388.228445,-388.273535,36.121
gdb_61334,OC(CC#CC=O)C#C,6.70532,0.55812,0.52673,4.1762,80.31,-0.2654,-0.0606,0.2048,1953.4737,0.10823,-420.558816,-420.548631,-420.547686,-420.595972,34.237
gdb_106790,CCC12CC1(O)CC=C2,2.49821,1.47587,1.11584,1.2488,83.8,-0.2241,0.0217,0.2458,1182.6259,0.181974,-387.091188,-387.082204,-387.08126,-387.124461,35.188
gdb_66555,OC12C3C1C1C3C=CC21,3.07411,1.96625,1.65695,1.1414,74.3,-0.2261,0.0117,0.2378,858.3658,0.137994,-384.633015,-384.626737,-384.625793,-384.663126,27.27
gdb_89833,CN1CC2(CO2)CC1=O,3.2734,1.26091,0.99776,3.7628,73.56,-0.2422,0.0299,0.2721,1193.569,0.147611,-439.111105,-439.102628,-439.101683,-439.144563,31.231
gdb_103363,COC1(C)C2OC1C=C2,3.13945,1.50844,1.31561,2.5803,75.36,-0.2314,-0.0022,0.2292,1039.0362,0.157635,-422.95942,-422.951022,-422.950078,-422.992262,32.544
gdb_10783,CC1C(O)C(O)C1O,3.02577,1.90142,1.61139,1.1289,63.11,-0.2579,0.0576,0.3155,878.2557,0.153768,-422.062272,-422.054178,-422.053234,-422.094166,31.31
gdb_85015,CC1CC(=O)N(C)C1=O,2.39165,1.60814,1.01737,1.5096,73.72,-0.2556,-0.0154,0.2402,1164.0456,0.147687,-439.183324,-439.174184,-439.17324,-439.218276,32.346
gdb_92115,CC1CC2CC3(CC3)C12,2.5436,1.54004,1.16646,0.1877,89.17,-0.2525,0.0784,0.3308,1168.8045,0.206518,-351.117978,-351.109446,-351.108502,-351.151217,34.295
gdb_2594,C#CC1(CC1)CO,2.92428,2.82991,1.71115,1.3442,63.4,-0.2512,0.0419,0.2931,758.8998,0.123562,-308.46607,-308.458518,-308.457574,-308.497475,27.969
gdb_11015,CC12COC(=O)C1N2,4.31808,1.77809,1.50884,3.9447,61.18,-0.2666,-0.0058,0.2609,846.6625,0.120042,-399.820875,-399.813997,-399.813053,-399.851817,25.935
gdb_96415,OC1CCCOC1C#C,2.05841,1.67043,1.21269,1.9103,76.05,-0.2474,0.0268,0.2742,1101.2218,0.159446,-422.996591,-422.98799,-422.987046,-423.029424,33.57
gdb_10888,CC12CC1C(=O)C2O,3.04917,1.93824,1.53653,2.3914,65.75,-0.2303,-0.0152,0.2151,875.154,0.129129,-383.730241,-383.722363,-383.721419,-383.762235,29.262
gdb_30435,CN=C1NC(C)=NC=N1,3.84875,1.17507,0.91038,3.111,82.16,-0.2188,-0.0503,0.1685,1272.7216,0.137178,-414.2404,-414.231638,-414.230693,-414.274683,30.91
gdb_99654,COC(C#C)C1OC1C,2.46308,1.25327,0.9084,2.4173,78.77,-0.2584,0.0311,0.2895,1317.4745,0.155257,-422.951348,-422.94115,-422.940206,-422.98714,36.168
gdb_122873,CC(C)(C)COCCO,3.12521,0.73889,0.70487,2.0898,86.44,-0.261,0.0678,0.3288,1777.4247,0.225649,-426.627407,-426.615759,-426.614815,-426.66484,42.294
gdb_59991,CC(C)CC(O)C1CC1,3.02773,0.77542,0.74079,1.3947,89.52,-0.2582,0.0745,0.3327,1730.2988,0.226774,-389.485837,-389.474715,-389.473771,-389.522766,41.013
gdb_53533,CC#CCC1(O)CC1O,3.7058,0.77694,0.72909,1.9808,80.8,-0.2401,0.0535,0.2936,1622.9189,0.155703,-422.980649,-422.970144,-422.9692,-423.017319,37.485
gdb_76358,CC1C(O)C1(C#C)C#N,2.01549,1.43612,1.19265,3.5271,77.16,-0.256,0.0083,0.2644,1129.5155,0.121295,-400.710767,-400.701177,-400.700233,-400.744873,34.766
gdb_79688,OC1C2N3CC3C12C=O,2.61373,1.55745,1.20903,3.8876,71.47,-0.2375,-0.0324,0.2051,1033.8396,0.123067,-437.792221,-437.784397,-437.783452,-437.824432,29.953
gdb_65291,CC1(OC11CCC1)C#N,2.67254,1.35528,1.09705,4.1053,77.07,-0.2854,0.005,0.2904,1160.3176,0.145983,-401.939923,-401.931062,-401.930118,-401.973531,32.829
gdb_80756,OC1C2CN(CC12)C=O,3.15836,1.22609,1.18365,3.67,72.43,-0.247,0.0134,0.2604,1111.5044,0.149045,-439.09708,-439.088962,-439.088018,-439.130006,30.57
gdb_106136,CC12CC3CC1C23CO,2.40502,1.59347,1.25918,1.6207,83.18,-0.2266,0.0668,0.2933,1108.4827,0.182591,-387.040215,-387.031416,-387.030472,-387.073442,33.863
gdb_104318,COC1(C)COC2CC12,2.80449,1.34734,1.26566,1.156,77.38,-0.23,0.0849,0.3149,1129.7908,0.181761,-424.200476,-424.191561,-424.190617,-424.233721,34.43
gdb_83811,CC12C=CCCC1C2O,2.13936,1.65128,1.37497,1.654,83.82,-0.2261,0.0098,0.2359,1089.6477,0.183554,-387.09222,-387.083621,-387.082676,-387.12488,34.149
gdb_24868,N=C1NC(=N)OC(=O)N1,2.09559,1.99978,1.02328,1.8752,65.04,-0.2606,-0.0112,0.2494,1055.4652,0.09175,-486.143254,-486.135877,-486.134933,-486.175722,27.375
gdb_89989,CC1OC2(CCC2)C1C,2.91433,1.25543,1.08229,1.5353,85.37,-0.2342,0.0787,0.313,1256.4153,0.205221,-388.278552,-388.269229,-388.268285,-388.312844,35.964
gdb_45173,N=C1OC2CC3C2OC13,2.96333,1.95441,1.65931,3.6313,68.79,-0.248,0.0073,0.2552,854.2035,0.127215,-437.852059,-437.845964,-437.845019,-437.882371,25.437
gdb_108980,CCC1=NC2CC(C2)O1,3.82211,1.22732,1.09777,1.5176,79.35,-0.2414,0.0249,0.2663,1191.366,0.17268,-403.158142,-403.150164,-403.14922,-403.191162,31.098
gdb_12422,C1CC=CC(=O)C=C1,3.43108,1.95646,1.30049,4.1284,74.37,-0.2422,-0.0632,0.179,917.1622,0.132505,-346.635508,-346.62854,-346.627595,-346.666991,26.372
gdb_36978,C(CC1CCO1)C1CO1,4.74567,0.67733,0.66148,2.0004,79.65,-0.2435,0.0873,0.3308,1760.9848,0.182023,-424.184295,-424.175028,-424.174084,-424.220043,33.07
gdb_83548,OC1C2CCC1C21CO1,3.14969,1.47303,1.29918,0.1938,74.17,-0.2479,0.0581,0.306,1030.7307,0.160584,-422.98839,-422.980761,-422.979817,-423.020084,30.716
gdb_25961,CC(=O)Cc1ncco1,3.6701,1.08028,0.95048,1.846,71.63,-0.2367,-0.0275,0.2092,1237.3946,0.123732,-437.939605,-437.931146,-437.930202,-437.974744,29.641
gdb_82756,CC1C2OC3C2CC13O,2.26913,2.14882,1.5404,2.2066,73.67,-0.228,0.0692,0.2972,939.0324,0.160031,-422.983641,-422.976172,-422.975228,-423.014947,30.788
gdb_7776,CC1CC(C)=CCO1,3.36944,1.66173,1.17199,1.2436,77.97,-0.2324,0.0297,0.262,1071.4471,0.177027,-349.026684,-349.018391,-349.017447,-349.058979,31.588
gdb_76544,CC1C(C)C11CCC1O,2.31575,1.2023,1.14249,1.4983,86.19,-0.2427,0.0757,0.3184,1281.6427,0.204399,-388.272493,-388.262395,-388.261451,-388.307196,37.97
gdb_18,CC(=O)C,10.12193,8.49011,4.89615,2.7362,35.53,-0.2431,-0.0087,0.2344,292.4367,0.083382,-193.08834,-193.082969,-193.082024,-193.116476,16.893
gdb_124640,CC(C)Nc1ncon1,4.34764,0.93675,0.85665,1.7813,74.46,-0.2269,-0.0082,0.2186,1384.4317,0.147896,-435.276002,-435.267172,-435.266227,-435.3101,32.22
gdb_46469,N=C1NCC2(CO2)C1=O,3.06431,1.52965,1.10333,5.809,69.13,-0.2444,-0.0681,0.1763,1050.6218,0.11293,-453.939449,-453.93158,-453.930635,-453.972376,28.992
gdb_38967,C1CC2CC3OC3C2O1,2.87199,1.78051,1.51127,2.2049,72.56,-0.236,0.0781,0.3141,943.5772,0.162697,-423.025128,-423.018166,-423.017222,-423.056688,27.859
gdb_18123,C1CC2CCCC2C1,3.74044,1.81226,1.36497,0.1317,80.66,-0.2937,0.077,0.3707,980.2523,0.204933,-313.10836,-313.1013,-313.100356,-313.139786,28.818
gdb_85093,CC1CC(=O)C1(O)C#C,2.02049,1.53585,1.29624,1.8877,75.33,-0.2394,-0.0371,0.2023,1093.5399,0.131692,-421.794549,-421.784747,-421.783803,-421.829702,35.307
gdb_50152,C1CC12CN(C=C2)C=O,5.03837,0.98221,0.88439,3.9802,83.81,-0.2036,-0.0029,0.2007,1309.9717,0.148334,-401.970018,-401.96186,-401.960915,-402.004017,30.618
gdb_107748,CCC12CC3C(C1)C23O,2.75286,1.36137,1.22061,1.2792,81.9,-0.2298,0.0682,0.298,1149.7309,0.182359,-387.0407,-387.032083,-387.031139,-387.073688,34.032
gdb_6638,C(C=O)C#CC(=O)N,6.72129,0.72735,0.68206,3.817,66.14,-0.2592,-0.042,0.2172,1537.5562,0.092535,-398.60833,-398.599143,-398.598199,-398.644761,29.586
gdb_5873,CC(C)(C)CNC=O,3.463,1.22109,1.14616,3.5399,75.73,-0.25,0.0312,0.2812,1164.8583,0.186902,-366.30368,-366.293825,-366.292881,-366.338266,36.01
gdb_94271,CC1COC11C2CC1C2,2.92304,1.57074,1.2379,1.6227,82.37,-0.2348,0.085,0.3197,1089.35,0.183393,-387.02754,-387.019557,-387.018613,-387.060183,31.669
gdb_95514,CC1OCC=CC1(C)O,2.1626,1.70914,1.22971,1.5791,80.27,-0.2477,0.0186,0.2663,1115.49,0.181176,-424.236416,-424.227075,-424.226131,-424.269642,36.362
gdb_98066,COC(=O)C(=O)C(=O)N,3.04582,1.09457,0.96676,2.2587,60.18,-0.2525,-0.0835,0.1689,1237.4088,0.098131,-511.020856,-511.011046,-511.010102,-511.057119,32.424
gdb_49029,O=CC12CCC1C2C#C,2.59906,1.38604,1.10219,2.7819,81.07,-0.2489,-0.0352,0.2137,1131.0964,0.134358,-384.640919,-384.632475,-384.63153,-384.673997,31.726
gdb_121155,CCOC1CCC11CN1,2.91691,1.02247,0.83819,2.1168,83.85,-0.2391,0.0761,0.3153,1467.9594,0.193576,-404.306219,-404.296663,-404.295719,-404.341301,35.336
gdb_11146,N=C1CN=C(N1)C#C,6.09574,1.38667,1.13761,3.621,70.32,-0.2349,-0.0439,0.191,975.6267,0.095891,-357.631921,-357.624752,-357.623807,-357.663379,26.514
gdb_106518,CCC12CC(COC1)O2,3.11819,1.36593,1.20851,1.2347,77.71,-0.2308,0.0848,0.3156,1132.0409,0.183666,-424.215265,-424.207046,-424.206102,-424.247858,32.432
gdb_104427,CCC1(C)COCC=C1,2.9963,1.16744,1.05554,1.1989,87.61,-0.2421,0.0232,0.2653,1285.9377,0.205834,-388.302433,-388.293007,-388.292063,-388.336154,36.496
gdb_4255,N=C1OC=CC(=O)O1,3.98213,2.10754,1.37815,5.1549,56.12,-0.2746,-0.066,0.2086,798.0616,0.072733,-434.584033,-434.577783,-434.576839,-434.615035,22.617
gdb_50783,O=CCC#CCC1CO1,5.43509,0.52084,0.50074,3.5553,79.24,-0.2486,-0.0279,0.2207,2127.1676,0.132681,-421.78007,-421.77027,-421.769326,-421.818373,32.816
gdb_107419,OCC12CN1CC(O)C2,3.10066,1.18489,1.0612,2.1414,74.34,-0.2267,0.067,0.2937,1203.4269,0.171601,-440.258914,-440.250212,-440.249268,-440.292121,33.733
gdb_16086,C#CC12CN1C=NC2,4.66027,1.79432,1.52992,1.6286,68.35,-0.2482,-0.008,0.2401,821.758,0.107757,-341.527596,-341.520983,-341.520039,-341.558124,25.638
gdb_74683,CC1=CC2CC(=O)C2C1,3.0552,1.3017,1.1155,2.6816,81.8,-0.2366,-0.017,0.2196,1161.8285,0.159388,-385.92246,-385.914374,-385.91343,-385.955286,31.279
gdb_15692,COC1CCNC1=O,3.03465,1.9855,1.38297,2.8153,65.24,-0.2273,0.023,0.2503,921.382,0.143407,-401.033398,-401.025471,-401.024527,-401.065951,28.579
gdb_39370,C1C2OCC=CC1C=C2,2.32193,2.15758,1.5954,1.4226,79.78,-0.2397,0.0057,0.2454,924.0447,0.162803,-385.892812,-385.885981,-385.885036,-385.923558,28.684
gdb_31387,c1coc(cc1=O)CO,2.93388,1.26205,0.89104,4.2592,70.72,-0.2347,-0.0365,0.1983,1220.859,0.113285,-457.802482,-457.794669,-457.793725,-457.835217,28.949
gdb_34274,N#CC12CC=C3CC1C23,3.70721,1.51629,1.22507,3.7184,80.62,-0.2331,-0.0546,0.1785,991.9972,0.125262,-363.525739,-363.518864,-363.51792,-363.556778,27.67
gdb_37772,C1C2C3C=CC=CC1C23,2.68613,2.00521,1.43803,0.6616,86.45,-0.2067,-0.0231,0.1836,953.3565,0.163267,-348.737146,-348.730522,-348.729578,-348.767704,28.254
gdb_20848,CCc1c(c[nH]n1)N,3.12531,1.85899,1.27394,2.5043,70.75,-0.1925,0.0334,0.2259,972.2018,0.14391,-360.064769,-360.056472,-360.055528,-360.097652,30.302
gdb_113928,CCC1CC1CC(C)O,3.64148,0.67063,0.62181,1.4264,90.31,-0.2549,0.0734,0.3283,1937.3266,0.226985,-389.487197,-389.476073,-389.475129,-389.524141,40.878
gdb_99934,CCC(C)(C)C#CC#N,3.47013,0.70899,0.68038,5.5208,94.57,-0.2792,-0.0328,0.2464,1732.6243,0.168643,-366.016564,-366.005958,-366.005014,-366.052339,38.16
gdb_45328,O=C1OC2CN=COC12,2.95348,1.70779,1.3434,3.7171,61.31,-0.2672,-0.0156,0.2516,925.6256,0.102928,-473.847512,-473.840706,-473.839762,-473.879387,25.144
gdb_37810,C1OCC2OC3C1C3O2,2.59974,2.16928,1.70453,1.4084,66.16,-0.2334,0.0741,0.3074,852.0556,0.138814,-458.935063,-458.928681,-458.927736,-458.965656,26.13
gdb_36016,C#CC(CC#N)CC#N,3.22603,0.90299,0.75864,3.562,75.29,-0.2927,-0.0025,0.2902,1424.6023,0.110784,-379.662918,-379.653494,-379.65255,-379.698079,32.68
gdb_65979,CC1(CNC1=O)C1CC1,2.22525,1.50613,1.37746,3.3849,78.76,-0.2439,0.0367,0.2806,1091.1217,0.170804,-403.162318,-403.15322,-403.152276,-403.196112,34.123
gdb_120403,CCCN1CC(=O)C1C,3.46818,0.81894,0.70147,2.6523,84.73,-0.2281,-0.0206,0.2075,1671.0839,0.19164,-404.351003,-404.340723,-404.339779,-404.386859,36.947
gdb_55662,CC(=O)OC(C=O)C#C,2.53309,1.16849,0.94952,2.3882,69.52,-0.2637,-0.0394,0.2243,1258.7221,0.107422,-457.764269,-457.754438,-457.753494,-457.800263,33.279
gdb_55740,CC(=O)CC12CC(C1)O2,3.3769,1.13563,1.06878,2.3611,76.3,-0.2403,-0.0125,0.2278,1206.5168,0.157297,-422.981692,-422.972999,-422.972055,-423.0161,32.457
gdb_51731,O=CCC1COC11CC1,3.36065,0.94258,0.80966,1.1566,76.64,-0.2352,-0.0284,0.2068,1418.3697,0.157083,-422.995382,-422.986311,-422.985367,-423.030682,32.583
gdb_14480,CC12CC3C(O1)C3O2,4.03814,2.29686,2.27482,1.4674,61.86,-0.2375,0.0862,0.3237,703.0686,0.132003,-383.737499,-383.731519,-383.730575,-383.767166,24.814
gdb_4547,Cn1cc(nc1O)N,3.98641,1.76465,1.23459,1.8773,64.39,-0.1709,0.059,0.2299,939.2513,0.120128,-396.019458,-396.011399,-396.010455,-396.051746,29.357
gdb_19968,CC1COC1C1CC1,3.60878,1.50594,1.18652,1.7316,75.22,-0.2389,0.0838,0.3227,1073.3296,0.177096,-348.974566,-348.966257,-348.965312,-349.008,30.719
gdb_109060,CCC1=CC2CC3C1N23,3.94248,1.21438,1.10818,1.8247,83.7,-0.2075,0.0098,0.2174,1186.3363,0.172794,-365.978945,-365.971199,-365.970255,-366.011442,30.623
gdb_107241,CCC12CC1C1NC21C,2.78788,1.40824,1.09029,1.8164,85.8,-0.1979,0.0826,0.2805,1208.2442,0.193517,-367.137811,-367.128791,-367.127847,-367.171106,35.556
gdb_16574,C1OC2CC1CCO2,2.95566,2.61004,2.14205,2.3341,65.63,-0.2492,0.0793,0.3284,744.7924,0.15812,-384.958391,-384.952355,-384.95141,-384.988188,25.045
gdb_112661,CCC1CC(C)C(=O)C1,3.15869,0.96806,0.78205,2.8151,86.18,-0.2334,-0.0116,0.2218,1536.7834,0.205073,-388.342677,-388.332827,-388.331883,-388.377616,36.844
gdb_21940,C(c1noc(=O)o1)O,7.13726,1.31994,1.12173,5.2601,48.93,-0.2863,-0.0172,0.2691,953.2026,0.07094,-471.676354,-471.6693,-471.668356,-471.708539,23.872
gdb_19495,C#CC1C2CCOC12,3.36022,1.93055,1.78013,1.5777,69.75,-0.2251,0.0449,0.27,818.0226,0.13111,-346.55544,-346.548359,-346.547415,-346.586679,27.174
gdb_121847,CC(C)(CCCO)OC,2.79206,0.73423,0.68547,1.4496,86.14,-0.2462,0.0784,0.3246,1809.8852,0.225193,-426.619364,-426.607392,-426.606448,-426.656947,42.936
gdb_47889,N=C1OCCOCC=C1,2.68594,1.58036,1.15253,1.3997,76.87,-0.2484,-0.0478,0.2006,1073.2492,0.149505,-439.073141,-439.065242,-439.064298,-439.1057,30.286
gdb_2881,C#CC1COC=N1,6.67323,2.05601,1.76234,1.609,55.89,-0.2599,0.0112,0.2711,689.651,0.090665,-323.347112,-323.340873,-323.339929,-323.377788,22.104
gdb_16401,O=C1CCC2CC1C2,3.35255,2.16055,1.69263,3.0984,70.73,-0.2323,-0.0049,0.2274,824.7421,0.156582,-347.827566,-347.820951,-347.820006,-347.858362,26.426
gdb_16309,OC1CN2CC12C=O,3.75104,1.68842,1.41862,3.1741,62.78,-0.2492,-0.0451,0.2041,884.0651,0.11776,-399.751485,-399.74396,-399.743016,-399.783378,27.421
gdb_83324,CC1C2COC1(C)C2=O,2.22674,1.72644,1.46183,2.6362,75.41,-0.2223,-0.0161,0.2062,1022.1619,0.158487,-423.024716,-423.016159,-423.015215,-423.057444,32.657
gdb_59859,CC(=O)C(=O)CN(C)C,2.47784,1.127,0.92032,1.1852,78.59,-0.2184,-0.0749,0.1435,1371.6482,0.166916,-440.298227,-440.287308,-440.286364,-440.335641,37.433
gdb_103832,CCC1(C)CC1C(C)O,2.57402,1.02634,0.8592,1.3522,89.69,-0.251,0.0762,0.3272,1513.8101,0.226685,-389.488804,-389.477718,-389.476774,-389.524745,41.696
gdb_110227,CC12CC(=O)N1C2CO,2.17951,1.56581,1.08552,3.9926,72.29,-0.2501,-0.0158,0.2342,1150.0893,0.1461,-439.06537,-439.056415,-439.055471,-439.099249,33.189
gdb_104137,COC1(C)COC(=N)C1,3.57691,1.07423,1.03221,3.5737,76.6,-0.2565,0.0296,0.286,1254.763,0.170057,-440.299209,-440.289928,-440.288984,-440.3333,34.524
gdb_71623,CC12CC3C1CCCC23,2.56296,1.57657,1.50813,0.251,89.14,-0.2749,0.0857,0.3606,1065.827,0.209032,-351.136966,-351.12923,-351.128286,-351.168594,32.314
gdb_107736,CCC12CC3=CCN1C23,3.24996,1.39882,1.26572,0.9364,85.66,-0.2067,-0.0421,0.1647,1094.7708,0.170735,-365.893292,-365.88527,-365.884326,-365.925829,31.769
gdb_41019,C1OC23C1OC1C2CC31,3.12302,2.03664,1.51825,0.6354,71.45,-0.2422,0.0556,0.2978,876.2107,0.137791,-421.714176,-421.708084,-421.70714,-421.744287,26.05
gdb_63387,CC1(O)CC(N)(C1)C#N,3.03687,1.1568,0.97861,4.0399,76.74,-0.2666,0.0317,0.2983,1242.0495,0.158132,-419.210052,-419.200584,-419.19964,-419.243663,36.285
gdb_122221,CCOCC1(CC)CO1,2.40954,1.03264,0.997,1.2199,82.12,-0.2447,0.0907,0.3355,1410.7452,0.20329,-425.402568,-425.391958,-425.391014,-425.439265,38.324
gdb_122010,CCCCC(O)CCC,5.34943,0.48086,0.45848,1.3286,94.19,-0.2597,0.0724,0.3321,2549.1692,0.249656,-390.71021,-390.697999,-390.697054,-390.748769,43.468
gdb_61280,CC(CC#C)OC(N)=O,2.18401,1.14929,0.86592,2.0104,73.97,-0.2642,0.0502,0.3144,1372.6976,0.144831,-439.104987,-439.094769,-439.093825,-439.140929,36.723
gdb_76362,CC1N(C)C1(C#N)C#N,2.06114,1.43567,1.22166,5.0115,75.71,-0.2744,-0.0268,0.2476,1120.2696,0.122449,-396.918375,-396.908983,-396.908039,-396.952388,33.238
